State,Area,,Population,"Violent
crime","Murder and 
nonnegligent 
manslaughter","Rape
(legacy
definition)",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
NORTH DAKOTA,State Total,,"757,952","1,903",15,256,181,"1,365","17,402","3,243","12,195","1,964"
OHIO6,State Total,,"11,614,373","34,877",654,"4,141","12,523","16,111","299,357","66,883","212,807","19,667"
OKLAHOMA,State Total,,"3,923,561","17,648",245,"1,509","3,162","12,202","117,037","29,103","75,779","12,155"
OREGON,State Total,,"4,093,465","10,830",113,"1,261","2,278","6,718","121,345","16,866","91,286","13,193"
PENNSYLVANIA,State Total,,"12,784,227","40,447",661,"3,233","12,326","23,027","222,795","35,520","174,228","13,047"
PUERTO RICO,State Total,,"3,411,307","7,643",679,128,"3,201","3,594","35,201","8,251","23,163","3,787"
RHODE ISLAND,State Total,,"1,056,426","2,524",29,328,540,"1,513","20,058","3,788","14,674","1,596"
SOUTH CAROLINA,State Total,,"4,961,119","24,896",366,"1,711","4,035","18,108","160,928","32,976","114,032","13,920"
SOUTH DAKOTA,State Total,,"865,454","3,621",27,379,272,"2,813","17,141","3,000","12,639","1,502"
TENNESSEE,State Total,,"6,651,194","42,097",486,"1,991","7,813","31,084","189,835","40,312","134,404","15,119"
TEXAS,State Total,,"27,862,596","121,042","1,478","9,858","33,317","72,880","768,947","148,740","551,151","69,056"
UTAH,State Total,,"3,051,217","7,407",72,"1,116","1,541","4,274","90,058","12,836","67,834","9,388"
VERMONT,State Total,,"624,594",989,14,124,106,691,"10,602","2,103","8,217",282
VIRGINIA,State Total,,"8,411,808","18,302",484,"1,965","4,803","10,278","156,412","20,018","126,606","9,788"
WASHINGTON,State Total,,"7,288,000","22,023",195,"2,259","5,651","13,100","254,653","49,180","173,187","32,286"
WEST VIRGINIA,State Total,,"1,831,102","6,557",81,468,720,"5,099","37,487","9,301","25,677","2,509"
WISCONSIN,State Total,,"5,778,708","17,679",229,"1,458","4,706","10,765","111,720","19,425","82,337","9,958"
WYOMING,State Total,,"585,501","1,430",20,150,59,"1,146","11,460","1,771","8,889",800
